,name,price,image_url,description,size,brand,rating,review
10,Qwen PD219 Toner Cartridge For Pantum P2509 M6509,"KSh 5,000",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/99/683217/1.jpg?1622,Model:PD-219Color: BlackFor use in: P2509，P2509W，M6509，M6509WPage Yield:1600 pagesPremium qulity materialsHealth printPrint clearlyCost effective,,Qwen,4.5 out of 5,WONDERFULL PRODUCT
11,"Lenovo Ideapad 1-12th Generation Intel Core i3-8GB RAM-512GB SSD-WIN11-14"" Display-Grey","KSh 66,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/37/8760091/1.jpg?1817,"Display: 14"" HD (1366x768)Processor: 12th Generation Intel Core i3-1215UMemory: 8GB Soldered DDR4-3200Storage: 512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®OS: Windows 11Webcam, Wi-Fi, Bluetooth",512GB SSD,Lenovo,0 out of 5,
12,"Logitech H390 USB Headset With Noise-Canceling Mic 1YR WRTY , 1YR WRTY","KSh 5,299",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/45/0604171/1.jpg?7504,USB Type-A InterfaceNoise-Cancelling MicrophonePadded Headband and Plush EarpadsIn-Line Volume and Mute Controls,..,Logitech,0 out of 5,
13,Qwen 55A Black Laserjet Toner Cartridge (CE255A),"KSh 2,800",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/39/994372/1.jpg?1347,"Brand:QwenToner Cartridge Color: BlackCompatible model: HP CE255A(CRG724/524/324/124)Page Yield: 6000 pages, at 5% coverage/A4 Feature:Compatible laser toner cartridgeUse for: HP Laserjet P3015d/3015dn/3015x/500MFP/M525",,Qwen,4.5 out of 5,Works perfectly
14,"HP Notebook 15-Intel Celeron-8GB RAM-512GB SSD-Windows 11-15.6""-Black+Bag+Flash (1YR WRTY)","KSh 43,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/01/7209101/1.jpg?0927,"Display: 15.6"" HDProcessor: Intel CeleronStorage: 512GB SSDMemory: 8GB RAMOS: Windows 11Bluetooth, WiFi, Webcam",,HP,5 out of 5,
15,Logitech Pebble 2&nbsp;M350 Wireless Mouse&nbsp;- Tonal Black,"KSh 4,499",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/71/3960032/1.jpg?0556,Sensor Technology: High-precision Optical trackingSensor resolution: 1000 DPINumber of Buttons: 3Scroll Wheel: Yes- MechanicalScroll Buttons: Middle ButtonUnifying ready mouse: YesUnifying ready receiver: NoBattery: 18 monthsBattery type: 1 AA pre-installed batteryWireless technology: Bluetooth Low Energy TechnologyWireless operating distance: 33 ft (10 m) ,,Logitech,0 out of 5,
16,Qwen 201A Black Laserjet Toner Cartridge (CF400A),"KSh 2,000",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/02/731472/1.jpg?2837,Brand:QwenToner Cartridge Color: BlackCompatible model:CF400(201A)Page Yield: 1500 Feature:Compatible laser toner cartridgeUse for: HP M252/M277(X-2.8K/2.3K)（201A/X）,,Qwen,0 out of 5,
17,"Sandisk Ultra Flair 64GB USB 3.0 Flash Drive, 1YR WRTY","KSh 2,800",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/56/0291281/1.jpg?9726,"High-Speed USB 3.0 performanceTransfer to drive faster up to 15X faster than standard USB 2.0 drivesSleek, durable metal casingEasy-to-use password protection for your private files",..,Sandisk,5 out of 5,The sandisk flash is good and it arrived on time so ???? up team jumia
18,Logitech M171 Wireless Mouse - Compact & Portable (1YR WRTY),"KSh 1,899",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/50/3403171/1.jpg?9825,Smooth optical trackingDPI (Min/Max): 1000±,,Logitech,0 out of 5,
19,"Sandisk 128GB Cruzer Glide 3.0 USB Flash Drive, 1YR WRTY","KSh 3,500",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/35/5684281/1.jpg?1657,"SanDisk 128GB USB 3.0 Cruzer Glide (Retail Packaging)Includes Free GR Brand USB 2.0 Credit Card Design Flash Drive For Easy Wallet Carry (Perfect For Logo Branding)SanDisk Cruzer Glide Offers Reliable Storage For Photos, Videos, Music And Other FilesEasily Password Protect Your Files With SanDisk Secure Access Software",,Sandisk,4.5 out of 5,"Good copying speed,allows files of various formats i.e mkv etc. Easy to handle  | Good Copying speed and read speeds"
20,"HP 27f Display-27"" Ultra-Slim IPS Full HD+32GB Flash","KSh 35,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/16/321393/1.jpg?8310,Panel technology: IPS with LED backlightNative resolution: FHD (1920 x 1080)Input connector: 1 VGA - 2 HDMI (with HDCP support) ((with HDCP support) )Aspect ratio: 16:9AMD FreeSync™Dual HDMI,,HP,4.9 out of 5,"Works well | It works! The screen is huge, very thin profile that looks great. Would recommend for a home office. | Delivered as ordered. Thank you"
21,Lenovo Ideapad 1-Intel Celeron-4GB RAM-256GB SSD-Windows 11-15.6 HD-Grey-Bag+64gb Flash (1YR WRTY),"KSh 37,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/88/2169971/1.jpg?7775,"Display: 15.6"" HDProcessor: Intel CeleronMemory: 4GB RAMStorage: 256GB M.2 SSDOperating System: Windows 11 ProWebcam, WiFi, Bluetooth",IP1 15 CEL_bag,Lenovo,5 out of 5,The product is lit
22,Raoop Wireless Keyboard & 2.4G Wireless Mouse Combo,"KSh 1,499",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/18/640244/1.jpg?6609,"Full keyboard and mouse10-metre range wireless rangeAdvanced 2.4 GHz frequency - reliable as cordedEncrypted for securityAdvanced 2.4 GHz wireless is as reliable as a corded connection10-meter range1—work or play in more places like your comfy couchVirtually eliminates delays, dropouts and interference even in the busiest wireless environments",,Raoop,4.4 out of 5,It works perfectly | Small and compact and responsive keyboards | Perfect
23,"HP 27f Display-27"" Ultra-Slim IPS Full HD+Keyholder (1YR WRTY)","KSh 34,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/95/321393/1.jpg?8310,Panel technology: IPS with LED backlightNative resolution: FHD (1920 x 1080)Input connector: 1 VGA - 2 HDMI (with HDCP support) ((with HDCP support) )Aspect ratio: 16:9AMD FreeSync™Dual HDMI,,HP,4.2 out of 5,"So far it works well  | It is lightweight and sleeks and looks great on my desk. I love the clarity of the colour and the HDMI port. So far so good. | After few times using, monitor stop to work. Warranty works, it seems. Waiting to have another one back."
24,Dahua 64GB USB Flash Drive-DHI-USB-U106 (1YR WRTY),KSh 999,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/35/2602702/1.jpg?4245,Capacity: 64GBInterface: USB2.0Exclusive appearance with metal mini casing. Waterproof and portable; safe and reliable. Shockproof and anti-drop for great quality. ,64GB,Dahua,5 out of 5,Quite a wonderful product for data transferring and storage 
25,Qwen 14A Black Laserjet Toner Cartridge (CF214A ),"KSh 4,500",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/05/606672/1.jpg?2525,Brand:QwenToner Cartridge Color: BlackCompatible model: QHP CF214APage Yield: 10000 Feature:Compatible laser toner cartridgeUse for: HP LaseJet Enterprise 700/Printer M712,,Qwen,5 out of 5,
26,"HP Envy X360-13th Gen Intel Core I5-512GB SSD+8GB RAM-Windows 11-14"" FHD TOUCHSCREEN-FINGERPRINT READER-Silver (1YR WRTY)","KSh 96,000",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/28/2811291/1.jpg?7448,"Display: 14"" FHD (1920 x 1080) x360 TouchscreenProcessor: 13th Generation Intel Core i5-1335UMemory: 8 GB DDR4-3200Storage: 512GB PCIe® NVMe™ M.2 SSDOS: Windows 11 HomeFingerprint Reader, Wi-Fi, Webcam, Bluetooth",512GB SSD,HP,0 out of 5,
27,Lenovo Ideapad 1-12th Gen Intel Core I3-4GB RAM-256GB SSD-Windows 11-14 Inch HD-Grey (1YR WRTY),"KSh 56,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/94/6950091/1.jpg?0200,"Display: 14"" HD (1366x768)Processor: 12th Generation Intel Core i3-1215UMemory: 4GB Soldered DDR4-3200Storage: 256GB SSD M.2 2242 PCIe® 4.0x4 NVMe®OS: Windows 11Webcam, Wi-Fi, Bluetooth",256GB SSD,Lenovo,0 out of 5,
28,"Logitech H151 Stereo Headset With Noise-Cancelling 1YR WRTY , 1YR WRTY","KSh 2,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/22/0604171/1.jpg?3244,"Full stereo soundAdjustable headband with comfortable ear cupsWorks with popular calling applicationsComputer, tablet and smartphone compatibleIn-line audio controlsNoise-cancelling microphone on either side",..,Logitech,0 out of 5,
29,"HP Notebook 15-Intel Celeron (N Series)-512GB SSD+8GB RAM-15.6""-Windows 11-Black, (1YR WRTY)","KSh 41,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/92/7209101/1.jpg?0926,"Display: 15.6"" HDProcessor: Intel CeleronStorage: 512GB SSDMemory: 8GB RAMOS: Windows 11Bluetooth, WiFi, Webcam",,HP,4 out of 5,"Jumia delivers | It is fast and has good battery although internal | Not bad, working well"
30,Sandisk MICRO SD 128GB,"KSh 2,499",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/92/887343/1.jpg?3111,Reading speed:Up to 100MB/sVideo Speed: Level 10 of C10 UHS-I / Full HD Video (1920x1080)Appearance size: microSDHC / MicroSDXCKeep track of your photos and videos with writeable label,,Sandisk,4.7 out of 5,Nice product... | Working fine so far | Not bad
31,"Dahua 256GB 2.5 Inch SATA SSD-Internal Laptop/Desktop Solid State Drive, 1YR WRTY","KSh 3,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/62/6333961/1.jpg?8774,Capacity: 256 GB Form Factor: 2.5 inch Port: SATA III 6Gb/sAdopts high-quality wafer level chip Supports SATA III protocol with transmission speed up to 550 MB/s View information through S.M.A.R.T Provides better read and write performance with TRIM and NCQ Low power consumption management,D_256 sata,Dahua,4.5 out of 5,The object arrived as expected.
32,Qwen 17A CF217A LaserJet Toner Cartridge-Black (2packs),"KSh 2,500",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/27/399682/1.jpg?7565,Brand:QwenColor: BlackCompatible model:CF217APage Yield: 1600 pagesFeature:Compatible laser toner cartridgeUse for: HP LaserJet Pro M102/M102a/M102w/M130/M130a/M130f/M130fn/M130nw,,Qwen,4.6 out of 5,good will tell more later | Meets expectations
33,"Promate PROCOMBO-12 Sleek Profile Full Size Wireless Keyboard & Mouse Combo, English, 1YR WRTY","KSh 1,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/67/6707091/1.jpg?7126,S﻿leek Full Sized Ergonomic KeyboardSpillproof Keyboard StructureAmbidextrous Mouse DesignEasy To Connect And UseQWERTY English LanguageCompatible with PC and LaptopMedia Playback ControlsAdjustable 1600DPI Mouse Sensor ResolutionWireless Keyboard and Mouse,,Promate,0 out of 5,
34,"Sandisk 32GB Cruser Glide USB 3.0, 3 Months WRTY","KSh 1,600",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/39/6053961/1.jpg?3249,Not Available,Blk,Sandisk,0 out of 5,
35,Sandisk OTG Flash Drive - 128GB - Black,"KSh 2,499",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/53/476623/1.jpg?6370,"Free up space on your OTG-enabled Android phoneBack up your mobile photos, videos and contactsRetractable design with dual micro-USB and USB 3.0 connectorsHigh-speed USB 3.0 performance with up to 150MB/s file transfer from drive to computerSanDisk Memory Zone application (available on Google Play) lets you easily manage your photos and videos",,Sandisk,3.9 out of 5,working very Well but 114gb | Chose because I could hang it with my keys. The plastic cover cut and the disk got lost.
36,"Lexar NS100 2.5""SATA 6Gb/s 256GB SSD-(LNS100-256RB), 1YR WRTY","KSh 4,499",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/10/4704961/1.jpg?2566,Capacity: 256 GB Form Factor: 2.5 inch Interface: 2.5” SATA III (6Gb/s)Performance: Sequential read up to 550MB/s,L_256 sata,Lexar,5 out of 5,Noticeable improvements to load times in games and startup
37,Lenovo Ideapad 1-Intel Celeron-4GB RAM-256GB SSD-Windows 11-15.6 HD-Grey (1YR WRTY),"KSh 36,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/77/9530081/1.jpg?6178,"Display: 15.6"" HDProcessor: Intel CeleronMemory: 4GB RAMStorage: 256GB M.2 SSDOperating System: Windows 11 ProWebcam, WiFi, Bluetooth",IP1 15 CEL,Lenovo,4 out of 5,
38,Dahua 256GB SATA M.2 2280 (SATA III 6Gb/s) SSD-Internal Laptop Solid State Drive (1YR WRTY),"KSh 4,599",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/25/3824702/1.jpg?8712,Capacity: 256 GB Form Factor: SATA M.2 2280 Port: SATA III 6Gb/s Adopts high-quality wafer level chip.Supports SATA III protocol with transmission speed up to 550 MB/s.View information through S.M.A.R.T.Provides better read and write performance with TRIM and NCQ.Low power consumption management. Large TBW.,256GB,Dahua,5 out of 5,
39,"Dahua 1TB NVMe M.2 PCIe Gen3x4 SSD-Internal Desktop/Laptop Solid State Drive, 1YR WRTY","KSh 10,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/92/4003961/1.jpg?6454,"Capacity: 1TBForm Factor: M.2 2280 Port: PCIe Gen 3.0 × 4Supports PCIe3.0x4 and NVMe 1.3 protocol. Supports LDPC ECC to enhance data reliability.View information through S.M.A.R.T. Adopts high-quality 3D NAND wafer level chip and with 4K LDPC technology, the program-erase cycle is effectively improved to extend   service time.Supports TRIM to improve read/write performance and speed.Low power consumption management.",D_1TB nvme,Dahua,0 out of 5,
40,Dstv Full Kit (1YR WRTY),"KSh 3,329",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/60/9517802/1.jpg?7390,HD capable (720p and 1080i)Parental controlXtra-view capable8-day TV guideWidescreen capableHearing impaired subtitlesNo free subscription,DStv0001,Dstv,5 out of 5,Dstv always quality product
41,Power King Extension Cable - 5 Way - White.,KSh 440,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/68/269662/1.jpg?9390,"Terminator 5 way 13A Socket power board with Neon BS Fused plug, BS Cable 2M cable -13A plug. Poly bag packing with header card",,Power King,4.2 out of 5,It works perfectly | works well. cable is shorter than i thought. | Average
42,AILYONS ELP2402K 2.1CH Multi Media Speaker System Woofer-18000W PMPO (1YR WRTY),"KSh 2,809",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/36/3070651/1.jpg?6593,"2.1Ch Multimedia Speaker SystemAC/DC, BT, FM, USB/SD, AUX, MP3, LED displayBuilt-in powerful amplifierFull-function remote controlMaster volume/treble/bass controlAuditory feast High-fidelity stereo surround sound",,AILYONS,3.8 out of 5,"It's small but it does the job for such a price | It's smaller than it appears on the picture. Plus the seller displayers a remote that doesn't belong to this speaker. The actual remote is too small - minute! But overall, it has good sound; medium base. It's okay for the price. | Better "
43,Dstv Decoder (1YR WRTY),"KSh 1,979",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/18/5922661/1.jpg?0781,HD capable (720p and 1080i)Parental controlXtraview capable8-day TV guideWidescreen capableHearing impaired subtitlesNo free subscription,001,Dstv,4.2 out of 5,Aweaome liked it | Activate the product before delivery to avoid stressful expenses on hiring technicians  | Nice product
44,Amtec AM-011 Home Theatre Sub Woofer AC/DC-MF/BT-USB-Amtec,"KSh 2,788",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/37/749945/1.jpg?0718,Amazing SoundSuper Bass surroundHightech MultimediaAuxUSB SupportBluetoothUSB/SD/FM DIGITAL RADIO,Home Theatre Sub Woofer AC/DC-MF/BT-USB-Amtec,Amtec,3.7 out of 5,Poor quality | Put good pictures | Iko na sound vinoma 
45,"AILYONS ELP3601K 3.1CH Subwoofer Home Theatre Multi Media Bluetooth Speaker System, 1YR WRTY","KSh 4,399",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/92/2285512/1.jpg?7726,"3.1 CH Multimedia Speaker SystemBuilt-In Powerful Amplifier Stereo FM RadioBluetooth FunctionSupports USB, USB & Micro SD cardMP3,AUX CompatibleFull Function Remote Control Led Display3D Acoustic TechnologyMultimedia Connect SupportMaster Volume/Treble/Bass ControlMaterial: Wooden + ABS & Covered Black",,AILYONS,0 out of 5,
46,Amtec AM-009 3.1CH Hi-Fi System 20000W,"KSh 8,950",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/42/858445/1.jpg?0755,"Supports: MP3, DVD, VCD, PS2, Tuner, FM, XBOXPower Output: 80wUSB SD Input",Amtec AM-009 3.1CH Hi-Fi System 20000W,Amtec,3 out of 5,The led light doesn't work.It is not as expected.
47,"Amtec AM-731 3.1CH Sub Woofer Bluetooth System-FM,USB,SD-20000W","KSh 6,708",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/32/5727221/1.jpg?0713,"Bluetooth SpeakerFrequency Response: 38Hz-20KHzS/N: >70dBSupports: MP3, DVD, VCD, PS2, Tuner, FM, XBOX, AudioSelected to AdjustON/OFF Power Switch SpeakerUSB SD INPUTPOWER OUTPUT 60W",,Amtec,4.1 out of 5,"This is sooo perfect????especially the bass,delivery was fast ,excellent services.....thanks jumia | Punch nice bass for the price.

Worth it. | It's looking good"
48,Amtec X-BASS SUB WOOFER MULTIMEDIA SYSTEM-BT/FM/USB (1YR WRTY),"KSh 4,215",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/18/278355/1.jpg?1608,Amazing SoundSuper Bass surroundHigh-tech MultimediaAux/FM readyUSB Support8000W PMPOBluetooth,,Amtec,4.1 out of 5,I loved the product from bass to high quality sound | Was great i loved it though it does not jave a good bass | As advertised... atleast
49,Power King 4 Way Extension Power Cable,KSh 550,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/78/654023/1.jpg?6249,"Quality
Productlong
cable for extra reachHeat
resistant hard ABS plastic to withstand overheatingSafety
shuttered socketsELEGANTSAFETY
SHUTTERSIdeal
for all electrical devicesIdeal
for both indoor & outdoor",,Power King,4.3 out of 5,"Nice 4 way power cable, nicely packed, and delivered timely | Atlist make sure the extension have fuse and earth wire | still using it two years later boughtt it in 2022 and still using in 2024"
50,AILYONS SB601 2.1CH Sound Bar With Bluetooth SubWoofer Home Theatrer 18000W PMPO - Black (1YR WRTY),"KSh 9,799",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/22/6383971/1.jpg?8391,"2.1Ch Multimedia Sound BarAC/DC, BT, USB/SD, AUX, MP3, LED displayBuilt-in powerful amplifierFull-function remote controlMaster volume/treble/bass controlAuditory feast High-fidelity stereo surround soundS/N: ≥75dB18000W PMPOMaterial: wooden + ABS& covered blackInput power: AC180V-240V(50/60Hz)Output Power：60W+20W×2Input Power: AC180V-240V~50/60HzSpeaker Unit:6.5''x1+2.25""x4+1''x2",SB601,AILYONS,4.2 out of 5,"Best product | Very nice ???? 
 | As advertised"
51,"AILYONS LET3208W 32"" FHD Frameless Digital LED TV Inbuilt Decoder DVB T2/S2 - USB-HDMI-VGA - Black&nbsp;, 1YR WRTY","KSh 10,199",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/44/6304971/1.jpg?6035,"Size: 32"" HD/FHDSuper Bright Presentation Wide Color EnhancerWide Voltage designResolution: 1366*768 TV Technology: DIGITAL LED ConnectivityBright treble, full mid range, deep bass, bring you and your family a thrilling listening experience.",LET3208W,AILYONS,3.5 out of 5,"Just love it, though the quality of pictures not soo clear, I wish I had known earlier I could have ordered a different make. Thanks alot, you people are good, genuine and very panctual."
52,"Roch RS-F3S, 3.1CH Sub Woofer Sound System, 12000W – Black (1YR WRTY)","KSh 5,199",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/21/6444151/1.jpg?6275,"Amazing SoundSuper Bass surroundHigh-tech MultimediaOutput power: 60WTension : 220-240V33Connectivity: Bluetooth, USB, SD, MP3Remote control12000W Color: Black",,Roch,4.2 out of 5,I love the base it brings a lot  | Extra base | has a very good bass energy and i can adjust it however i want. i am enjoying music!
53,Gotv Decoder + Grid Antenna (1YR WRTY),"KSh 3,499",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/26/665795/1.jpg?9159,Select and Pay for the Package you needDigital quality pictureDigital quality audioEasy to install (no satellite dish required)Easy to useHD capability.,,Gotv,4.3 out of 5,Great service | Good  but it has no free month subscription!! | Good delivery. Got the 1month free subscription 
54,"TCL 50"" P635 4K HDR Google TV - Black","KSh 45,789",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/36/8286161/1.jpg?9022,HDR 10Google TVOk GoogleDolby AudioDynamic Color EnhancementHDMI 2.1AIPQ2.0EDGELESS DESIGN,,TCL,4.9 out of 5,"Quality service and picture, surround sound is awesome  | I'd like 1 more unit of this. It has been out of stock for quite a while. | Recieved the TV in good condition and loving it. Highly recommend it for anyone else willing to purchse from Jumia."
55,"VON VES0602FS Subwoofer 2.1CH, Bluetooth,USB - 60W RMS (1YR WRTY)","KSh 7,375",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/49/434474/1.jpg?3071,2.1chOutput power 80W(RMS) =50W+ 2*15W LED+ Display with equalizer bar for perfect visibilityBLUETOOTHSpeaker Driver Units 5.25’’ + 2*3”USB DiskSD CardFM TunerBass ExtremeRemote Control,,VON,4 out of 5,Works well | Next time you make sure you deliver what you display. It's so disappointing getting what you never asked for. | I love the bass ???? ????
56,LASA 8K Certified Ultra High Speed Hdmi Cable - 3M,KSh 850,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/19/9263271/1.jpg?3398,Not Available,,LASA,4.9 out of 5,Cool and faster than a jet????
57,"Skyworth 50SUE9500, 50-inches 4K QLED 2022 Frameless Smart Android TV, Black (1YR WRTY)","KSh 50,499",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/94/6640741/1.jpg?2016,"Display: 50"" Google TVBluetooth 5.1 Boundless ScreenChromecast Built-in Dolby AtmostGoogle Play Store Resolution - 3840*2160DTV Receiving System Dolby Digital / Dolby Digital Plus/ Dolby Vision DTS Studio Sound Updating Interface (USB, Internet)Wall Mount (Mount Bracket not included)Stand Mount Yes",,Skyworth,4.5 out of 5,The TV is exactly as described in the description. | The tv matches up with products of its caliber(i.e hisense). A good product | Would recommend 
